Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
The Devil's Advocate,1997,Taylor Hackford,7.63,7.8,,7.8,,7.5,,,7.4,,,
The Shawshank Redemption,1994,Frank Darabont,7.63,7.1,,7.2,8.5,7.7,,,,,,
Amélie,2001,Jean-Pierre Jeunet,7.62,7,,8.1,,8.1,,,7.4,7.5,,
Django Unchained,2012,Quentin Tarantino,7.62,7.1,,8,,8.3,,,,,7.4,7.3
Se7en,1995,David Fincher,7.62,7.2,7.3,7.1,,8.1,8.2,,7.8,,,
1917,2019,Sam Mendes,7.6,7.4,,,,8.1,,7.5,7.4,,,
Training Day,2001,Antoine Fuqua,7.6,,,,,7.6,,,,,,
The Yellow Sea,2010,Hong-jin Na,7.6,,,,,7.6,,,,,,
The Wild Bunch,1969,Sam Peckinpah,7.6,,,,,7.6,,,,,,
The Lighthouse,2019,Robert Eggers,7.6,,,,,7.6,,,,,,
The Chaser,2008,Hong-jin Na,7.6,,,,,7.6,,,,,,
Wild at Heart,1990,David Lynch,7.6,,,7.6,,,,,,,,
Only Lovers Left Alive,2013,Jim Jarmusch,7.6,,,7.6,,,,,,,,
Rain Man,1988,Barry Levinson,7.6,8,,7.2,,,,,,,,
The Descent,2005,Neil Marshall,7.6,7.6,,,,,,,,,,
The Circus,1928,Charles Chaplin,7.6,7.6,,,,,,,,,,
Independence Day,1996,Roland Emmerich,7.6,7.6,,,,,,,,,,
Dark Water,2005,Walter Salles,7.6,7.6,,,,,,,,,,
All Quiet on the Western Front,1930,Lewis Milestone,7.6,7.6,,,,,,,,,,
The Day the Earth Stood Still,1951,Robert Wise,7.6,7.6,,,,,,,,,,
Hot Fuzz,2018,Edgar Wright,7.6,7.6,,,,,,,,,,
Once Upon a Time... In Hollywood,2019,Quentin Tarantino,7.6,8.1,,8,8,7.2,,,6.7,,,
Mother,2009,Bong Joon Ho,7.6,,,,,7.6,,,,,,
A Separation,2011,Asghar Farhadi,7.58,7.5,7.5,7.4,,8,,,7.5,,,
Liar Liar,1997,Tom Shadyac,7.57,6.9,,,8,,,,,7.8,,
The Apartment,1960,Billy Wilder,7.55,8,,7.6,,,,,,,7.2,7.4
Life and a Day,2016,Saeed Roustayi,7.55,,7.5,,,7.6,,,,,,
Mission: Impossible - Fallout,2018,Christopher McQuarrie,7.55,,,,7.5,7.6,,,,,,
Blood Diamond,2006,Edward Zwick,7.55,7.6,,,,7.5,,,,,,
WALL-E,2008,,7.53,7,,7.1,8,,,,8,,,
A Beautiful Mind,2001,Ron Howard,7.52,7.2,,7.9,,8,,7.5,7,,,
Climax,2018,Gaspar Noé,7.5,6.5,8,8,,,,,,,,
I'm Thinking of Ending Things,2020,Charlie Kaufman,7.5,7.6,,,,,,,7.4,,,
A Short Film About Love,1988,Krzysztof Kieslowski,7.5,,7.5,,,,,,,,,
The Twilight Samurai,2002,Yôji Yamada,7.5,,7.5,,,,,,,,,
Gran Torino,2008,Clint Eastwood,7.5,,7,,,8,,,,,,
Uncut Gems,2019,"Benny Safdie, Josh Safdie",7.5,8.4,,,7,7.6,,,7,,,
Master and Commander: The Far Side of the World,2003,Peter Weir,7.5,7,,,,8,,,,,,
